15,105	0,525
15,195	0,537
15,285	0,552
15,375	0,567
15,48	0,5835
15,57	0,6015
15,66	0,621
15,75	0,642
15,84	0,666
15,915	0,69
16,005	0,7155
16,095	0,7455
16,185	0,774
16,275	0,8025
16,35	0,8295
16,44	0,855
16,53	0,8775
16,62	0,897
16,695	0,9135
16,785	0,9285
16,86	0,942
16,95	0,951
17,025	0,957
17,115	0,96
17,19	0,96
17,28	0,9585
17,355	0,9525
17,445	0,945
17,52	0,936
17,595	0,9255
17,685	0,915
17,76	0,9015
17,835	0,888
17,91	0,8745
18	0,861
18,075	0,8475
18,15	0,834
18,225	0,822
18,3	0,81
18,375	0,798
18,45	0,789
18,54	0,7815
18,615	0,7755
18,675	0,768
18,675	0,7635
18,75	0,759
18,825	0,759
18,9	0,759
18,975	0,759
19,05	0,7605
19,125	0,762
19,2	0,7665
19,275	0,774
19,335	0,7815
19,41	0,7905
19,485	0,801
19,56	0,813
19,62	0,8265
19,695	0,84
19,77	0,858
19,83	0,876
19,905	0,894
19,98	0,9135
20,04	0,936
20,115	0,96
20,175	0,984
20,25	1,008
20,31	1,035
20,37	1,0635
20,445	1,0935
20,505	1,125
20,58	1,158
20,64	1,194
20,7	1,2315
20,775	1,272
20,835	1,314
20,895	1,3575
20,97	1,401
21,03	1,446
21,09	1,491
21,15	1,533
21,21	1,575
21,285	1,614
21,345	1,65
21,405	1,6845
21,465	1,716
21,525	1,7445
21,585	1,77
21,645	1,7925
21,705	1,812
21,765	1,8285
21,825	1,842
21,885	1,851
21,945	1,857
22,005	1,857
22,065	1,854
22,125	1,848
22,185	1,839
22,185	1,827
22,245	1,8135
22,29	1,7985
22,35	1,7985
22,41	1,782
22,47	1,764
22,53	1,7445
22,575	1,7235
22,635	1,701
22,695	1,6785
22,755	1,6545
22,8	1,629
22,86	1,605
22,92	1,581
22,965	1,557
23,025	1,5345
23,085	1,512
23,13	1,491
23,19	1,4715
23,235	1,452
23,295	1,434
23,34	1,416
23,4	1,401
23,445	1,386
23,505	1,374
23,55	1,362
23,61	1,353
23,655	1,3455
23,7	1,3395
23,76	1,335
23,805	1,3305
23,865	1,329
23,91	1,329
23,955	1,3305
24,015	1,3335
24,06	1,338
24,105	1,344
24,15	1,3515
24,21	1,3605
24,255	1,371
24,3	1,3815
24,345	1,3935
24,39	1,407
24,45	1,422
24,495	1,4385
24,54	1,4565
24,585	1,4745
24,63	1,494
24,675	1,515
24,72	1,5375
24,765	1,5615
24,81	1,584
24,855	1,6095
24,855	1,6365
24,9	1,665
24,945	1,6935
24,99	1,7235
25,035	1,7235
25,08	1,752
25,125	1,7835
25,17	1,815
25,215	1,848
25,26	1,8825
25,305	1,9185
25,35	1,9575
25,395	1,995
25,425	2,0355
25,47	2,0775
25,515	2,1195
25,56	2,163
25,605	2,2095
25,635	2,256
25,68	2,3055
25,725	2,3535
25,77	2,403
25,815	2,4525
25,845	2,502
25,89	2,5515
25,935	2,601
25,965	2,64
26,01	2,661
26,055	2,673
26,085	2,682
26,13	2,691
26,175	2,6985
26,205	2,7075
26,25	2,715
26,28	2,7225
26,325	2,7285
26,37	2,736
26,4	2,7405
26,445	2,748
26,475	2,7525
26,52	2,7585
26,55	2,763
26,595	2,766
26,625	2,7705
26,67	2,7735
26,7	2,7765
26,745	2,7795
26,775	2,7825
26,805	2,784
26,85	2,784
26,88	2,7855
26,925	2,787
26,955	2,787
26,985	2,787
26,985	2,787
27,03	2,7855
27,06	2,784
27,09	2,784
27,135	2,784
27,165	2,784
27,195	2,7825
27,24	2,7795
27,27	2,7765
27,3	2,7735
27,33	2,7705
27,375	2,7675
27,405	2,7645
27,435	2,7615
27,465	2,757
27,51	2,7525
27,54	2,748
27,57	2,745
27,6	2,7405
27,63	2,736
27,66	2,7315
27,705	2,7285
27,735	2,724
27,765	2,7195
27,795	2,715
27,825	2,709
27,855	2,703
27,885	2,697
27,915	2,6895
27,945	2,685
27,975	2,6805
28,005	2,676
28,035	2,673
28,065	2,6685
28,11	2,664
28,14	2,6595
28,17	2,6535
28,2	2,6445
28,23	2,631
28,26	2,616
28,29	2,5995
28,305	2,5845
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
