24,9	23,22	1,9935	1,9935	23,22	NAN	
25	23,28	1,9665	1,9665	23,28	NAN	
25,1	23,34	1,9425	1,9425	23,34	NAN	
25,2	23,385	1,92	1,92	23,385	NAN	
25,3	23,445	1,899	1,899	23,445	NAN	
25,4	23,49	1,881	1,881	23,49	NAN	
25,5	23,55	1,866	1,866	23,55	NAN	
25,6	23,595	1,854	1,854	23,595	NAN	
25,7	23,655	1,8435	1,8435	23,655	NAN	
25,8	23,7	1,836	1,836	23,7	NAN	
25,9	23,745	1,83	1,83	23,745	NAN	
26	23,805	1,827	1,827	23,805	NAN	
26,1	23,85	1,8255	1,8255	23,85	NAN	
26,2	23,91	1,8255	1,8255	23,91	NAN	
26,3	23,955	1,8285	1,8285	23,955	NAN	
26,4	24	1,833	1,833	24	NAN	
26,5	24,06	1,839	1,839	24,06	NAN	
26,6	24,105	1,848	1,848	24,105	NAN	
26,7	24,15	1,86	1,86	24,15	NAN	
26,8	24,21	1,8735	1,8735	24,21	NAN	
26,9	24,255	1,887	1,887	24,255	NAN	
27	24,3	1,905	1,905	24,3	NAN	
27,1	24,36	1,923	1,923	24,36	NAN	
27,2	24,405	1,944	1,944	24,405	NAN	
27,3	24,45	1,9665	1,9665	24,45	NAN	
27,4	24,495	1,9905	1,9905	24,495	NAN	
27,5	24,54	2,0175	2,0175	24,54	NAN	
27,6	24,6	2,0445	2,0445	24,6	NAN	
27,7	24,645	2,073	2,073	24,645	NAN	
27,8	24,69	2,1045	2,1045	24,69	NAN	
27,9	24,735	2,136	2,136	24,735	NAN	
28	24,78	2,1705	2,1705	24,78	NAN	
28,1	24,825	2,2065	2,2065	24,825	NAN	
28,2	24,87	2,244	2,244	24,87	NAN	
28,3	24,915	2,2845	2,2845	24,915	NAN	
28,4	24,96	2,3235	2,3235	24,96	NAN	
28,5	25,005	2,3655	2,3655	25,005	NAN	
28,6	25,005	2,4075	2,4075	25,005	NAN	
28,7	25,05	2,4525	2,4525	25,05	NAN	
28,8	25,095	2,499	2,499	25,095	NAN	
28,9	25,14	2,547	2,547	25,14	NAN	
29	25,185	2,547	2,547	25,185	NAN	
29,1	25,23	2,5935	2,5935	25,23	NAN	
29,2	25,275	2,6265	2,6265	25,275	NAN	
29,3	25,32	2,6445	2,6445	25,32	NAN	
29,4	25,365	2,6565	2,6565	25,365	NAN	
29,5	25,41	2,667	2,667	25,41	NAN	
29,6	25,455	2,679	2,679	25,455	NAN	
29,7	25,5	2,691	2,691	25,5	NAN	
29,8	25,545	2,703	2,703	25,545	NAN	
29,9	25,59	2,715	2,715	25,59	NAN	
30	25,635	2,727	2,727	25,635	NAN	
30,1	25,665	2,7375	2,7375	25,665	NAN	
30,2	25,71	2,7495	2,7495	25,71	NAN	
30,3	25,755	2,7615	2,7615	25,755	NAN	
30,4	25,8	2,7735	2,7735	25,8	NAN	
30,5	25,845	2,7855	2,7855	25,845	NAN	
30,6	25,875	2,7975	2,7975	25,875	NAN	
30,7	25,92	2,808	2,808	25,92	NAN	
30,8	25,965	2,8185	2,8185	25,965	NAN	
30,9	26,01	2,8305	2,8305	26,01	NAN	
31	26,04	2,8425	2,8425	26,04	NAN	
31,1	26,085	2,853	2,853	26,085	NAN	
31,2	26,13	2,862	2,862	26,13	NAN	
31,3	26,16	2,871	2,871	26,16	NAN	
31,4	26,205	2,88	2,88	26,205	NAN	
31,5	26,25	2,889	2,889	26,25	NAN	
31,6	26,28	2,8965	2,8965	26,28	NAN	
31,7	26,325	2,904	2,904	26,325	NAN	
31,8	26,37	2,9115	2,9115	26,37	NAN	
31,9	26,4	2,919	2,919	26,4	NAN	
32	26,445	2,925	2,925	26,445	NAN	
32,1	26,475	2,931	2,931	26,475	NAN	
32,2	26,52	2,937	2,937	26,52	NAN	
32,3	26,565	2,943	2,943	26,565	NAN	
32,4	26,595	2,9475	2,9475	26,595	NAN	
32,5	26,64	2,952	2,952	26,64	NAN	
32,6	26,67	2,955	2,955	26,67	NAN	
32,7	26,715	2,9565	2,9565	26,715	NAN	
32,8	26,745	2,9595	2,9595	26,745	NAN	
32,9	26,79	2,961	2,961	26,79	NAN	
33	26,82	2,9625	2,9625	26,82	NAN	
33,1	26,865	2,964	2,964	26,865	NAN	
33,2	26,895	2,964	2,964	26,895	NAN	
33,3	26,94	2,964	2,964	26,94	NAN	
33,4	26,97	2,9625	2,9625	26,97	NAN	
33,5	27	2,961	2,961	27	NAN	
33,6	27,045	2,9595	2,9595	27,045	NAN	
33,7	27,075	2,958	2,958	27,075	NAN	
33,8	27,12	2,955	2,955	27,12	NAN	
33,9	27,15	2,9535	2,9535	27,15	NAN	
34	27,15	2,9505	2,9505	27,15	NAN	
34,1	27,18	2,946	2,946	27,18	NAN	
34,2	27,225	2,943	2,943	27,225	NAN	
34,3	27,255	2,943	2,943	27,255	NAN	
34,4	27,285	2,9385	2,9385	27,285	NAN	
34,5	27,33	2,9355	2,9355	27,33	NAN	
34,6	27,36	2,9325	2,9325	27,36	NAN	
34,7	27,39	2,928	2,928	27,39	NAN	
34,8	27,435	2,922	2,922	27,435	NAN	
34,9	27,465	2,9175	2,9175	27,465	NAN	
35	27,495	2,913	2,913	27,495	NAN	
35,1	27,525	2,9085	2,9085	27,525	NAN	
35,2	27,57	2,9025	2,9025	27,57	NAN	
35,3	27,6	2,8965	2,8965	27,6	NAN	
35,4	27,63	2,892	2,892	27,63	NAN	
35,5	27,675	2,886	2,886	27,675	NAN	
35,6	27,705	2,88	2,88	27,705	NAN	
35,7	27,735	2,8755	2,8755	27,735	NAN	
35,8	27,765	2,8695	2,8695	27,765	NAN	
35,9	27,795	2,865	2,865	27,795	NAN	
36	27,825	2,8605	2,8605	27,825	NAN	
36,1	27,87	2,8545	2,8545	27,87	NAN	
36,2	27,9	2,8485	2,8485	27,9	NAN	
36,3	27,93	2,844	2,844	27,93	NAN	
36,4	27,96	2,8395	2,8395	27,96	NAN	
36,5	27,99	2,835	2,835	27,99	NAN	
36,6	28,02	2,8305	2,8305	28,02	NAN	
36,7	28,05	2,826	2,826	28,05	NAN	
36,8	28,08	2,8215	2,8215	28,08	NAN	
36,9	28,125	2,817	2,817	28,125	NAN	
37	28,155	2,8125	2,8125	28,155	NAN	
37,1	28,185	2,808	2,808	28,185	NAN	
37,2	28,215	2,805	2,805	28,215	NAN	
37,3	28,245	2,8005	2,8005	28,245	NAN	
37,4	28,275	2,796	2,796	28,275	NAN	
37,5	28,305	2,7915	2,7915	28,305	NAN	
